Column1,company,experience,min_exp,max_exp,salary,location,joblisted(days_ago),postedin,rating,reviews_count,details,salary_data_provide_by,base_salary,max_salary,salary_disclosed,Exp_Pattern
JP Morgan Chase - Client Data Analyst (4-8 yrs),JP Morgan Chase,4-8 Yrs,4,8,Not Disclosed,Hyderabad / Secunderabad,3,iimjobs,4.1,5300,"Banking, KYC, Banking Operations",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Bangalore,Schneider Electric,5-10 Yrs,5,10,₹ 8 - 16L/yr,"Bangalore / Bengaluru, Bangalore Rural",4,Naukri,4.2,3500,"ERP, SAP, Data Analysis",Salary Listed by Company,800000,1600000,1,Range (X-Y yrs)
Senior IT ATLAS Data Analyst and Integration Specialist,SAP Labs India Pvt. Ltd.,7-11 Yrs,7,11,Not Disclosed,Bangalore / Bengaluru,7,Naukri,4.3,1500,"data quality, Data analysis, quality management",Unknown,360000,1330000,0,Range (X-Y yrs)
Consultant Data Analyst,Pfizer,2-6 Yrs,2,6,Not Disclosed,Mumbai,3,Naukri,4.1,1700,"Power Bi, Commercial Operations, Data Management",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst - Retail Liabilities,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,Mumbai,5,Naukri,4.5,2300,"Test strategy, Analytical, Manager Technology",Unknown,360000,1330000,0,Range (X-Y yrs)
JP Morgan Chase - Client Data Analyst (4-9 yrs),JP Morgan Chase,4-9 Yrs,4,9,Not Disclosed,Hyderabad / Secunderabad,7,iimjobs,4.1,5300,"KYC, AML, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
Principal Business Data Analyst,GlaxoSmithKline Pharmaceuticals Limited,5-9 Yrs,5,9,Not Disclosed,Bangalore / Bengaluru,2,Naukri,4.2,1600,"Procurement, Relationship management, Computer science",Unknown,360000,1330000,0,Range (X-Y yrs)
"SENIOR, DATA ANALYST",Walmart Labs,2-6 Yrs,2,6,Not Disclosed,Bangalore / Bengaluru,2,Naukri,4,2100,"Supply chain, Data analysis, Data modeling",Unknown,335000,3000000,0,Range (X-Y yrs)
Data Analysts in Supply chain planning,Hewlett-Packard,6-8 Yrs,6,8,Not Disclosed,Bangalore / Bengaluru,5,Naukri,4.2,3500,"Power Bi, Supply chain Planning, Tableau",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5,10,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking",Unknown,360000,1330000,0,Range (X-Y yrs)
